영화명,감독,제작사,개봉일,영화형태,국적,전국 스크린수,전국 매출액,전국 관객수,서울 매출액,서울 관객수,장르,등급,영화구분
명량,김한민,(주)빅스톤픽쳐스,2014-07-30,장편,한국,1587,135748398910.0,17613682,33121225810.0,4163666,사극,15세이상관람가,일반영화
극한직업,이병헌,(주)어바웃잇영화사 해그림 주식회사(주)씨제이이엔엠,2019-01-23,장편,한국,1978,139647979516.0,16264944,31858660536.0,3638287,코미디,15세이상관람가,일반영화
신과함께-죄와 벌,김용화,리얼라이즈픽쳐스(주)(주)덱스터스튜디오,2017-12-20,장편,한국,1912,115698654137.0,14410754,27530825087.0,3346172,판타지,12세이상관람가,일반영화
국제시장,윤제균,(주)제이케이필름(주)씨제이이엔엠,2014-12-17,장편,한국,966,110828014630.0,14245998,25842519330.0,3233946,드라마,12세이상관람가,일반영화
어벤져스: 엔드게임,안소니 루소조 루소,마블 스튜디오,2019-04-24,장편,미국,2835,122182694160.0,13934592,33577136860.0,3597963,액션,12세이상관람가,일반영화
겨울왕국 2,크리스 벅제니퍼 리,월트 디즈니 픽처스,2019-11-21,장편,미국,2648,114810421450.0,13747792,28824682580.0,3225974,애니메이션,전체관람가,일반영화
아바타,제임스 카메론,이십세기폭스필름코퍼레이션,2009-12-17,장편,미국,912,128447097523.0,13624328,40547523000.0,3993374,SF,12세이상관람가,독립/예술영화
베테랑,류승완,(주)외유내강(주)필름케이,2015-08-05,장편,한국,1064,105024756250.0,13395400,26766369950.0,3290366,액션,15세이상관람가,일반영화
도둑들,최동훈,(주)케이퍼필름,2012-07-25,장편,한국,1072,93665568500.0,12983330,26089426500.0,3468906,액션,15세이상관람가,일반영화
7번방의 선물,이환경,(주)화인웍스(주)씨엘엔터테인먼트,2013-01-23,장편,한국,787,91431914670.0,12811206,22800931670.0,3070053,코미디,15세이상관람가,일반영화
암살,최동훈,(주)케이퍼필름,2015-07-22,장편,한국,1519,98463132781.0,12705700,25306651181.0,3155960,액션,15세이상관람가,일반영화
범죄도시2,이상용,주식회사 빅펀치픽쳐스(주)홍필름(주)비에이엔터테인먼트,2022-05-18,장편,한국,2498,131293353478.0,12692959,29072759869.0,2755760,범죄,15세이상관람가,일반영화
알라딘,가이 리치,,2019-05-23,장편,미국,1311,106983620359.0,12555894,30218911039.0,3377404,어드벤처,전체관람가,일반영화
광해 왕이 된 남자,추창민,리얼라이즈픽쳐스(주)(주)씨제이이엔엠,2012-09-13,장편,한국,810,88900208769.0,12319542,25192804727.0,3355700,사극,15세이상관람가,일반영화
신과함께-인과 연,김용화,리얼라이즈픽쳐스(주)(주)덱스터스튜디오,2018-08-01,장편,한국,2235,102476768809.0,12253247,22905551759.0,2636542,판타지,12세이상관람가,일반영화
택시운전사,장훈,더램프(주),2017-08-02,장편,한국,1906,95284747049.0,12099971,22186916199.0,2729932,드라마,15세이상관람가,일반영화
부산행,연상호,(주)영화사레드피터,2016-07-20,장편,한국,1788,93175877048.0,11565078,23020827248.0,2754686,액션,15세이상관람가,일반영화
해운대,윤제균,(주)제이케이필름,2009-07-22,장편,한국,753,81934638201.0,11453338,21141403500.0,2791508,액션,12세이상관람가,일반영화
변호인,양우석,위더스필름(주),2013-12-18,장편,한국,923,82856578300.0,11372451,22571929000.0,2978688,드라마,15세이상관람가,일반영화
어벤져스: 인피니티 워,안소니 루소조 루소,마블 스튜디오,2018-04-25,장편,미국,2553,99919006769.0,11211880,28631269069.0,3008819,액션,12세이상관람가,일반영화
아바타: 물의 길,제임스 카메론,라이트스톰 엔터테인먼트,2022-12-14,장편,미국,2809,137587341964.0,10801074,35452010003.0,2621620,액션,12세이상관람가,일반영화
어벤져스: 에이지 오브 울트론,조스 웨던,마블 스튜디오,2015-04-23,장편,미국,1843,88582586366.0,10494499,25001906266.0,2823388,액션,12세이상관람가,일반영화
기생충,봉준호,(주)바른손이앤에이,2019-05-30,장편,한국,1948,87459829095.0,10313086,24128560195.0,2790209,드라마,15세이상관람가,일반영화
겨울왕국,크리스 벅제니퍼 리,월트 디즈니 픽처스,2014-01-16,장편,미국,1010,82461504400.0,10296101,25847243500.0,3003446,애니메이션,전체관람가,일반영화
인터스텔라,크리스토퍼 놀란,레전더리 픽처스,2014-11-06,장편,미국,1342,82274331200.0,10273803,25500349600.0,3079036,SF,12세이상관람가,일반영화
보헤미안 랩소디,브라이언 싱어,,2018-10-31,장편,미국,936,86280975785.0,9948386,27849793695.0,3097336,드라마,12세이상관람가,일반영화
검사외전,이일형,(주)영화사 월광(주)사나이픽처스,2016-02-03,장편,한국,1812,77252755264.0,9699092,18302525664.0,2219587,범죄,15세이상관람가,일반영화
엑시트,이상근,(주)외유내강(주)필름케이,2019-07-31,장편,한국,1660,79232212162.0,9426051,18533549352.0,2132869,코미디,12세이상관람가,일반영화
관상,한재림,(주)주피터필름(주)쇼박스,2013-09-11,장편,한국,1190,66005451500.0,9134586,19311179000.0,2561744,사극,15세이상관람가,일반영화
아이언맨 3,쉐인 블랙,파라마운트 픽쳐스,2013-04-25,장편,미국,1381,70806191000.0,9001309,21668935500.0,2595269,액션,12세이상관람가,일반영화
설국열차,봉준호,모호필름오퍼스픽쳐스(유),2013-08-01,장편,한국,1128,64016480000.0,8914845,18975866000.0,2550437,SF,15세이상관람가,일반영화
캡틴 아메리카: 시빌 워,안소니 루소조 루소,마블 스튜디오,2016-04-27,장편,미국,1991,72672111827.0,8677249,21248121149.0,2400069,액션,12세이상관람가,일반영화
수상한 그녀,황동혁,(주)예인플러스엔터테인먼트아이앤코스모스(주)시네와이즈필름,2014-01-22,장편,한국,692,62696639249.0,8656397,15358810049.0,2042110,드라마,15세이상관람가,일반영화
해적: 바다로 간 산적,이석훈,(주)하리마오픽쳐스,2014-08-06,장편,한국,838,66240631706.0,8646758,14906345006.0,1868694,어드벤처,12세이상관람가,일반영화
국가대표,김용화,케이엠컬쳐㈜,2009-07-29,장편,한국,580,60896633308.0,8487894,16782332500.0,2213346,드라마,12세이상관람가,일반영화
백두산,이해준김병서,주식회사 덱스터 픽쳐스(주)퍼펙트스톰필름(주)씨제이이엔엠,2019-12-19,장편,한국,1971,69825366300.0,8252669,15055877210.0,1724785,어드벤처,12세이상관람가,일반영화
과속스캔들,강형철,(주)토일렛픽쳐스(주)디씨지플러스,2008-12-03,장편,한국,405,53940101534.0,8245523,16515292833.0,2390408,코미디,12세이상관람가,일반영화
탑건: 매버릭,조셉 코신스키,스카이댄스 미디어,2022-06-22,장편,미국,1975,87855360975.0,8177446,25925045991.0,2309600,액션,12세이상관람가,일반영화
스파이더맨: 파 프롬 홈,존 왓츠,컬럼비아 픽처스,2019-07-02,장편,미국,2142,69000711100.0,8020208,18515112400.0,2051196,액션,12세이상관람가,일반영화
공조,김성훈,(주)제이케이필름(주)씨제이이엔엠(주)영화사 이창(주)에이치비엔터테인먼트,2017-01-18,장편,한국,976,63781731326.0,7817446,14672808676.0,1744624,액션,15세이상관람가,일반영화
트랜스포머 3,마이클 베이,해즈브로 스튜디오,2011-06-29,장편,미국,1409,74841350500.0,7784807,21746223000.0,2143018,액션,12세이상관람가,일반영화
히말라야,이석훈,(주)제이케이필름,2015-12-16,장편,한국,1009,60173583015.0,7759473,13920553930.0,1738016,드라마,12세이상관람가,일반영화
미션임파서블:고스트프로토콜,브래드 버드,파라마운트 픽쳐스,2011-12-15,장편,미국,1038,57795846000.0,7575899,18719283500.0,2347164,액션,15세이상관람가,일반영화
스파이더맨: 노 웨이 홈,존 왓츠,컬럼비아 픽처스,2021-12-15,장편,미국,2948,75193912210.0,7551990,21054819760.0,2041418,액션,12세이상관람가,일반영화
트랜스포머: 패자의 역습,마이클 베이,드림웍스 SKG파라마운트 픽쳐스,2009-06-24,장편,미국,1129,51478531663.0,7505700,16083028500.0,2200557,SF,12세이상관람가,일반영화
밀정,김지운,(주)다크서클픽쳐스워너브러더스 코리아(주)(주)영화사하얼빈,2016-09-07,장편,한국,1444,61158644831.0,7487545,15436298021.0,1827424,액션,15세이상관람가,일반영화
최종병기 활,김한민,(주)디씨지플러스(주)다세포클럽,2011-08-10,장편,한국,615,55808856500.0,7466976,16139541000.0,2059847,사극,15세이상관람가,일반영화
써니,강형철,(주)알로하픽쳐스(주)토일렛픽쳐스,2011-05-04,장편,한국,472,53773170600.0,7328820,15401904600.0,2004824,드라마,15세이상관람가,일반영화
한산: 용의 출현,김한민,(주)빅스톤픽쳐스,2022-07-27,장편,한국,2223,73700628377.0,7264934,15974849913.0,1513672,액션,12세이상관람가,일반영화
스파이더맨: 홈 커밍,존 왓츠,컬럼비아 픽처스,2017-07-05,장편,미국,1965,59120173820.0,7257973,16753103620.0,1969107,액션,12세이상관람가,일반영화
1987,장준환,(주)우정필름,2017-12-27,장편,한국,1299,58165581145.0,7231638,14638920495.0,1776877,드라마,15세이상관람가,일반영화
베를린,류승완,(주)외유내강(주)씨제이이엔엠,2013-01-30,장편,한국,894,52354931637.0,7166199,16070379637.0,2118794,액션,15세이상관람가,일반영화
마스터,조의석,영화사 집,2016-12-21,장편,한국,1501,58067927865.0,7150541,14520299965.0,1731940,액션,15세이상관람가,일반영화
터널,김성훈,(주)어나더썬데이(주)비에이엔터테인먼트,2016-08-10,장편,한국,1105,57510324417.0,7118592,14121558017.0,1675010,드라마,12세이상관람가,일반영화
어벤져스,조스 웨던,,2012-04-26,장편,미국,967,59557853478.0,7074867,19280107897.0,2147619,액션,12세이상관람가,일반영화
내부자들,우민호,(유)내부자들 문화전문회사,2015-11-19,장편,한국,1075,56596582057.0,7071763,16340245357.0,1972885,범죄,청소년관람불가,일반영화
인천상륙작전,이재한,(주)태원엔터테인먼트,2016-07-27,장편,한국,1049,55101410303.0,7049643,11459996563.0,1427944,전쟁,12세이상관람가,일반영화
공조2: 인터내셔날,이석훈,(주)제이케이필름(주)씨제이이엔엠,2022-09-07,장편,한국,2389,70884583586.0,6979319,15028120901.0,1444987,액션,15세이상관람가,일반영화
럭키,이계벽,(주)용필름,2016-10-13,장편,한국,1158,56361435256.0,6965706,13812629836.0,1640015,코미디,15세이상관람가,일반영화
은밀하게 위대하게,장철수,(주)엠씨엠씨,2013-06-05,장편,한국,1341,48663939413.0,6953800,12415574413.0,1691014,액션,15세이상관람가,일반영화
곡성,나홍진,(주)사이드미러이십세기폭스 인터내셔널 프로덕션,2016-05-12,장편,한국,1485,55853108382.0,6878264,15445041342.0,1829923,미스터리,15세이상관람가,일반영화
범죄도시,강윤성,(주)홍필름(주)비에이엔터테인먼트,2017-10-03,장편,한국,1315,56077813249.0,6851297,14046905449.0,1670254,범죄,청소년관람불가,일반영화
좋은 놈 나쁜 놈 이상한 놈,김지운,(주)다크서클픽쳐스(주)바른손이앤에이,2008-07-17,장편,한국,825,43768628939.0,6686912,13860913000.0,2012173,서부극(웨스턴),15세이상관람가,일반영화
늑대소년,조성희,(주)영화사비단길,2012-10-31,장편,한국,706,46593107500.0,6654837,12336313500.0,1677173,멜로/로맨스,15세이상관람가,일반영화
군함도,류승완,(주)외유내강(주)필름케이,2017-07-26,장편,한국,2027,50510565168.0,6592151,11091878868.0,1398649,액션,15세이상관람가,일반영화
미션 임파서블: 폴아웃,크리스토퍼 맥쿼리,파라마운트 픽쳐스,2018-07-25,장편,미국,1957,55888375112.0,6584915,14891043562.0,1686255,액션,15세이상관람가,일반영화
다크 나이트 라이즈,크리스토퍼 놀란,레전더리 픽처스,2012-07-19,장편,미국,1210,47644838000.0,6396528,16258149500.0,2057529,액션,15세이상관람가,일반영화
아저씨,이정범,오퍼스픽쳐스(유),2010-08-04,장편,한국,478,47870792359.0,6282774,14820865000.0,1863328,액션,청소년관람불가,일반영화
사도,이준익,(주)타이거픽쳐스,2015-09-16,장편,한국,1210,48842902501.0,6246849,12987928301.0,1606486,사극,12세이상관람가,일반영화
전우치,최동훈,영화사 집,2009-12-23,장편,한국,606,44605437017.0,6136928,12917834500.0,1684123,액션,12세이상관람가,일반영화
미션 임파서블: 로그네이션,크리스토퍼 맥쿼리,배드 로봇 프로덕션스,2015-07-30,장편,미국,1202,48547353607.0,6126488,13751315607.0,1669524,액션,15세이상관람가,일반영화
킹스맨 : 시크릿 에이전트,매튜 본,마브 필름스,2015-02-11,장편,미국,706,50333635795.0,6125154,16707645195.0,1968882,액션,청소년관람불가,일반영화
연평해전,김학순,(주)로제타시네마,2015-06-24,장편,한국,1013,45560620330.0,6043458,9906059630.0,1265879,드라마,12세이상관람가,일반영화
인셉션,크리스토퍼 놀란,워너 브러더스 픽쳐스레젼데리 픽쳐스,2010-07-21,장편,미국,528,44106546302.0,5926948,15810485000.0,2026998,드라마,12세이상관람가,일반영화
