영화명,감독,제작사,배급사,개봉일,국적,전국 스크린수,전국 매출액,전국 관객수,장르,등급,영화구분
명량,김한민,(주)빅스톤픽쳐스,(주)씨제이이엔엠,2014-07,한국,1587.0,135748398910.0,17613682.0,사극,15세이상관람가,일반영화
극한직업,이병헌,(주)어바웃잇영화사 해그림 주식회사(주)씨제이이엔엠,(주)씨제이이엔엠,2019-01,한국,1978.0,139647979516.0,16264944.0,코미디,15세이상관람가,일반영화
신과함께-죄와 벌,김용화,리얼라이즈픽쳐스(주)(주)덱스터스튜디오,롯데쇼핑㈜롯데엔터테인먼트,2017-12,한국,1912.0,115698654137.0,14410754.0,판타지,12세이상관람가,일반영화
국제시장,윤제균,(주)제이케이필름(주)씨제이이엔엠,(주)씨제이이엔엠,2014-12,한국,966.0,110828014630.0,14245998.0,드라마,12세이상관람가,일반영화
어벤져스: 엔드게임,안소니 루소조 루소,마블 스튜디오,월트디즈니컴퍼니코리아 유한책임회사,2019-04,미국,2835.0,122182694160.0,13934592.0,액션,12세이상관람가,일반영화
겨울왕국 2,크리스 벅제니퍼 리,월트 디즈니 픽처스,월트디즈니컴퍼니코리아 유한책임회사,2019-11,미국,2648.0,114810421450.0,13747792.0,애니메이션,전체관람가,일반영화
아바타,제임스 카메론,이십세기폭스필름코퍼레이션,주식회사 해리슨앤컴퍼니이십세기폭스코리아(주),2009-12,미국,912.0,128447097523.0,13624328.0,SF,12세이상관람가,독립/예술영화
베테랑,류승완,(주)외유내강(주)필름케이,(주)씨제이이엔엠,2015-08,한국,1064.0,105024756250.0,13395400.0,액션,15세이상관람가,일반영화
도둑들,최동훈,(주)케이퍼필름,(주)쇼박스,2012-07,한국,1072.0,93665568500.0,12983330.0,액션,15세이상관람가,일반영화
7번방의 선물,이환경,(주)화인웍스(주)씨엘엔터테인먼트,(주)넥스트엔터테인먼트월드(NEW),2013-01,한국,787.0,91431914670.0,12811206.0,코미디,15세이상관람가,일반영화
암살,최동훈,(주)케이퍼필름,(주)쇼박스,2015-07,한국,1519.0,98463132781.0,12705700.0,액션,15세이상관람가,일반영화
범죄도시2,이상용,주식회사 빅펀치픽쳐스(주)홍필름(주)비에이엔터테인먼트,주식회사 에이비오엔터테인먼트플러스엠 엔터테인먼트,2022-05,한국,2498.0,131293353478.0,12692959.0,범죄,15세이상관람가,일반영화
알라딘,가이 리치,,월트디즈니컴퍼니코리아 유한책임회사,2019-05,미국,1311.0,106983620359.0,12555894.0,어드벤처,전체관람가,일반영화
광해 왕이 된 남자,추창민,리얼라이즈픽쳐스(주)(주)씨제이이엔엠,(주)씨제이이엔엠,2012-09,한국,810.0,88900208769.0,12319542.0,사극,15세이상관람가,일반영화
