NO,MOVIE_NM,DRCTR_NM,MAKR_NM,INCME_CMPNY_NM,DISTB_CMPNY_NM,OPN_DE,MOVIE_TY_NM,MOVIE_STLE_NM,NLTY_NM,TOT_SCRN_CO,SALES_PRICE,VIEWNG_NMPR_CO,SEOUL_SALES_PRICE,SEOUL_VIEWNG_NMPR_CO,GENRE_NM,GRAD_NM,MOVIE_SDIV_NM
1,크루엘라,크레이그 질레스피,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,20210526,개봉영화,장편,미국,,,,,,드라마,12세이상관람가,일반영화
2,컨저링3: 악마가 시켰다,마이클 차베즈,,워너브러더스 코리아(주),워너브러더스 코리아(주),20210603,개봉영화,장편,미국,,,,,,공포(호러),15세이상관람가,일반영화
3,콰이어트 플레이스 2,존 크래신스키,,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,20210616,개봉영화,장편,미국,,,,,,스릴러,15세이상관람가,일반영화
4,분노의 질주: 더 얼티메이트,저스틴 린,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),20210519,개봉영화,장편,미국,,,,,,액션,12세이상관람가,일반영화
5,발신제한,김창주,"(주)티피에스컴퍼니,(주)씨제이이엔엠",,(주)씨제이이엔엠,20210623,개봉영화,장편,한국,,,,,,스릴러,15세이상관람가,일반영화
6,킬러의 보디가드 2,패트릭 휴즈,,(유)조이앤시네마,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹",20210623,개봉영화,장편,미국,975,,,,,액션,청소년관람불가,일반영화
7,루카,엔리코 카사로사,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,20210617,개봉영화,장편,미국,854,,,,,애니메이션,전체관람가,일반영화
8,캐시트럭,가이 리치,,(유)조이앤시네마,"(주)스튜디오 산타클로스엔터테인먼트,(주)제이앤씨미디어그룹",20210609,개봉영화,장편,미국,938,,,,,액션,청소년관람불가,일반영화
9,여고괴담 여섯번째 이야기 : 모교,이미영,(주)씨네이천,,"(주)케이티알파,씨제이 씨지브이(CJ CGV)(주)",20210617,개봉영화,장편,한국,603,,,,,미스터리,15세이상관람가,일반영화
10,극장판 귀멸의 칼날: 무한열차편,소토자키 하루오,,에스엠지홀딩스 주식회사,워터홀컴퍼니(주),20210127,개봉영화,장편,일본,380,,,,,애니메이션,15세이상관람가,일반영화
11,파이프라인,유하,(주)곰픽쳐스,,"메가박스중앙(주)플러스엠,(주)리틀빅픽쳐스",20210526,개봉영화,장편,한국,777,,,,,범죄,15세이상관람가,일반영화
12,아야와 마녀,미야자키 고로,,대원미디어(주),(주)리틀빅픽쳐스,20210610,개봉영화,장편,일본,362,,,,,애니메이션,전체관람가,일반영화
13,미드나이트,권오승,(주)페퍼민트앤컴퍼니,,씨제이 씨지브이(CJ CGV)(주),20210630,개봉영화,장편,한국,693,,,,,스릴러,15세이상관람가,일반영화
14,인 더 하이츠,존 추,,워너브러더스 코리아(주),워너브러더스 코리아(주),20210630,개봉영화,장편,미국,649,,,,,뮤지컬,12세이상관람가,일반영화
15,뱅드림! 로젤리아 에피소드Ⅰ: 약속,카키모토 코다이,,(주)애니플러스,(주)애니플러스,20210603,개봉영화,장편,일본,141,,,,,애니메이션,전체관람가,일반영화
16,프로페서 앤 매드맨,P.B. 셰므란,,그린나래미디어(주),그린나래미디어(주),20210602,개봉영화,장편,미국,320,,,,,드라마,15세이상관람가,독립/예술영화
17,사랑하고 사랑받고 차고 차이고,미키 타카히로,,"(주)도키엔터테인먼트,와이드 릴리즈(주)",주식회사 컨텐츠썬,20210616,개봉영화,장편,일본,155,,,,,드라마,12세이상관람가,독립/예술영화
18,굴뚝마을의 푸펠,,,(주)미디어캐슬,"(주)리틀빅픽쳐스,(주)레드로버",20210526,개봉영화,장편,일본,250,,,,,애니메이션,전체관람가,일반영화
19,낫아웃,이정곤,"이안필름,(주)키즈리턴",,"(주)케이티알파,판씨네마(주)",20210603,개봉영화,장편,한국,203,,,,,드라마,15세이상관람가,독립/예술영화
20,도라에몽: 스탠바이미 2,야기 류이치,,대원미디어(주),(주)스마일이엔티,20210519,개봉영화,장편,일본,631,,,,890,애니메이션,전체관람가,일반영화
21,라이더스 오브 저스티스,앤더스 토머스 옌센,,주식회사 왓챠,주식회사 왓챠,20210602,개봉영화,장편,기타,143,,,,,액션,15세이상관람가,독립/예술영화
22,체르노빌 1986,다닐라 코즈로브스키,,주식회사 풍경소리,(주)팝엔터테인먼트,20210630,개봉영화,장편,러시아,180,,,,,액션,12세이상관람가,독립/예술영화
23,학교 가는 길,김정인,(주)마로스튜디오,,(주)영화사 진진,20210505,개봉영화,장편,한국,90,,,,,다큐멘터리,12세이상관람가,독립/예술영화
24,플래시백,,,판씨네마(주),판씨네마(주),20210610,개봉영화,장편,캐나다,145,,,,,드라마,15세이상관람가,독립/예술영화
25,보이저스,닐 버거,,(유)조이앤시네마,"TCO(주)더콘텐츠온,(주)제이앤씨미디어그룹",20210526,개봉영화,장편,미국,387,,,,,SF,15세이상관람가,일반영화
26,클라이밍,김혜미,한국영화아카데미,,(주)트리플픽쳐스,20210616,개봉영화,장편,한국,110,,,,,애니메이션,15세이상관람가,독립/예술영화
27,"그 여름, 가장 차가웠던",주순,,(주)싸이더스,"(주)싸이더스,찬란",20210617,개봉영화,장편,중국,102,,,,,드라마,15세이상관람가,독립/예술영화
